"id","nombre","musculo","tipo","imagen_ref","desc_corta"
"e110","Press Inclinado con Barra","pecho","Compuesto","media/exercises/e110.jpg","Acuéstate en un banco inclinado (30-45°) con los pies en el suelo. Junta los omóplatos y baja la barra hacia la parte alta del pecho; empuja hacia arriba sintiendo el pecho de arriba. No rebotes la barra ni arquees de más la espalda."
"e71","Press de Banca con Mancuernas","pecho","Compuesto","media/exercises/e71.jpg","Acuéstate en el banco con una mancuerna en cada mano a la altura del pecho. Empuja ambas hacia arriba hasta casi juntar las mancuernas arriba. Más fácil y seguro que con barra para comenzar."
"e4","Dominadas","espalda","Bodyweight","media/exercises/e4.jpg","Cuélgate de la barra con las palmas mirando al frente. Sube llevando los codos hacia abajo hasta que el mentón pase la barra, sintiendo la espalda (no solo los brazos). Baja lento. Si no puedes solo, usa una banda de resistencia o la máquina asistida."
"e25","Remo en Polea a una Mano","espalda","Aislamiento","media/exercises/e25.jpg","Con un brazo a la vez, tira el agarre de la polea hacia tu cadera llevando el codo hacia atrás, apretando la espalda. Estira bien al volver. Ideal para equilibrar si un lado es más fuerte que el otro."
"e50","Buenos Días con Barra","espalda","Compuesto","media/exercises/e50.jpg","Barra apoyada en los hombros (no en el cuello). Inclínate hacia adelante desde la cadera solo hasta unos 45 grados, manteniendo la espalda completamente recta. Regresa lento. Usa poco peso — es muy exigente para la espalda baja. ⚠️ No recomendado si tienes dolor lumbar activo."
"e7","Press Militar con Barra","hombros","Compuesto","media/exercises/e7.jpg","De pie, sostén la barra a la altura de los hombros. Aprieta el abdomen fuerte y empuja la barra hacia arriba hasta estirar los brazos, sintiendo los hombros. Baja controlado. Si la espalda se arquea mucho, baja el peso."
"e8","Elevaciones Laterales","hombros","Aislamiento","media/exercises/e8.jpg","Con una mancuerna en cada mano, sube los brazos hacia los lados hasta la altura del hombro guiando con el codo. Baja despacio, sin impulso. Trabaja la parte lateral del hombro (la que da anchura)."
"e21","Face Pull en Polea","hombros","Aislamiento","media/exercises/e21.jpg","Coloca la polea a la altura de la cara y toma la cuerda. Jala hacia tu nariz abriendo los codos hacia los lados y aprieta la espalda alta. Aquí manda la técnica, no el peso: cuida y fortalece tus hombros."
"e53","Elevaciones Frontales","hombros","Aislamiento","media/exercises/e53.jpg","Con la mancuerna colgando al frente, sube el brazo recto hasta la altura del hombro y baja controlado. Sin balanceo de cadera ni columpiar el peso: si necesitas impulso, baja la carga. Trabaja el hombro de adelante."
"e54","Pájaro / Elevaciones Posteriores","hombros","Aislamiento","media/exercises/e54.jpg","Inclínate hacia adelante con la espalda recta. Sube las mancuernas hacia los lados como abriendo las alas. Trabaja la parte trasera del hombro."
"e10","Curl Martillo con Mancuernas","biceps","Aislamiento","media/exercises/e10.jpg","Mancuernas con el agarre vertical (como sostener un martillo). Sube sin girar la muñeca, codos quietos. Trabaja el bíceps y también el antebrazo."
